Timet,Wt,M_Vt,m_ENt,m_ECt,rt,j_NAt,j_Ct,j_It,j_CAt,j_EN_Ct,j_EC_Ct,j_EN_Mmt,j_EC_Mmt,j_EN_Gt,j_EC_Gt,j_Gt,j_VMt,j_EN_Rt,j_EC_Rt,Nt,Ct,It,j_Ot,L_allomt
31,0.0520414613792822,0.00168744501744048,0.00349383964553107,0.0253907343235012,0.0010015270309379,0.000122694941214473,0,0,0,8.4042455204548e-05,0.00124695073926026,5.01119909145084e-06,1.25279977286271e-06,7.90312561130971e-05,0.00124569793948739,0.00100152702905337,0,3.89701751110724e-05,0.000244170910260873,4.70275564289595e-06,0,0,0,5.86548543703991
32,0.0520466470515714,0.00168913503923867,0.0035640661142942,0.0243381078967154,0.000978229665817142,4.8136455909068e-05,0.00938439660099324,0,0,8.57142871365019e-05,0.00119445072495163,5.0055616125065e-06,1.25139040312663e-06,8.07087255239954e-05,0.00119319933454851,0.000978229663636498,0,4.1579539181603e-05,0.000214969670713704,8.62214839792726e-07,0.00363939975993894,0,0,5.8658832975559
33,0.0520452471641433,0.00169078740124363,0.00356042339312628,0.0233133216162516,0.000955421747883812,0.000153983386370978,0.00944453436470208,0,0,8.6304672289127e-05,0.00115250400914387,5.03908488317222e-06,1.25977122079305e-06,8.12655874059548e-05,0.00115124423792307,0.00095542174601728,0,4.30487177499849e-05,0.000195822491737676,1.10043794065543e-05,0.00100747308269112,0,0,5.86577589519106
34,0.0520536895288579,0.00169240281629782,0.00366344424724165,0.0223147837951841,0.000936526349149766,1.2649463921853e-05,0.00948100774691276,0,0,8.9198102071514e-05,0.00110754593661201,5.05693593532648e-06,1.26423398383162e-06,8.41411661361875e-05,0.00110628170262818,0.000936526348035152,0,4.66801123372067e-05,0.000169755354495708,1.78679247303507e-07,0.00507594908279777,0,0,5.86642359752242
35,0.0520493831826058,0.00169398779612866,0.00362547679812929,0.0213391192946185,0.000906502355139654,0.000101183103190725,0,0,0,8.86531927732437e-05,0.00106294797093573,5.07186786946469e-06,1.26796696736617e-06,8.3581324903779e-05,0.00106168000396836,0.000906502352625621,0,4.7321231088549e-05,0.000155177651126296,2.84184068493463e-06,0,0,0,5.86609321673217
36,0.0520533641253382,0.00169552340005543,0.00367730931327045,0.0203964872477992,0.000877670571586186,2.2248425635132e-05,0.00949013364913451,0,0,8.98522965104541e-05,0.00101464715132779,5.06238420988866e-06,1.26559605247216e-06,8.47899123005655e-05,0.00101338155527532,0.000877670569562378,0,4.96830897716709e-05,0.000135710985544757,3.31885781357895e-07,0.00206672928784297,0,0,5.86639863302742
37,0.0520503073266455,0.00169701151104709,0.00365119275702276,0.0194860785868406,0.000845467267659078,0,0.00948362252589474,0,0,8.92571767974752e-05,0.000969189464491593,5.05829997439094e-06,1.26457499359774e-06,8.41988768230843e-05,0.000967924889497995,0.000845467265421217,0,5.03801865019924e-05,0.000122457623895075,0,0.00549834116265088,0,0,5.86616411734891
38,0.0520453960517564,0.00169844627873252,0.0036041907841131,0.0186106261422344,0.000812657004852583,9.69355171739317e-05,0.0094719190671432,0.0239932324894553,0.00164094804743738,8.81279528088264e-05,0.000925240353128566,5.05283596340523e-06,1.26320899085131e-06,8.30751168454212e-05,0.000923977144137715,0.000812657002786235,0,5.05688370196587e-05,0.000111320141187099,2.61858140045887e-06,0.00176355924822845,0.194475325952849,0.00313167921801056,5.86578731821178
39,0.0521332434710628,0.0016998265329983,0.00365558133090836,0.0194113979079124,0.00083998418961544,0.000127600724093005,0.00944718811375493,0.0427808886593,0.00240804873286604,8.90332923218924e-05,0.000961851548787571,5.03908488317222e-06,1.25977122079305e-06,8.39942074387202e-05,0.000960591777566778,0.000839984188025328,0,5.03948401293284e-05,0.000120607589412807,5.19843596893133e-06,0.00344774614492955,1.81236669340341,0.0055889738701197,5.8725253686822
40,0.0522629805447437,0.00170125436041111,0.00373643348827406,0.0209498366551214,0.00089560485028996,0,0,0.0448255877404949,0,9.08719820452791e-05,0.00103778436368375,5.04322379071104e-06,1.26080594767776e-06,8.58287582545681e-05,0.00103652355773607,0.00089560484232428,0,5.00045655451723e-05,0.000140918714747437,0,0,3.45365160910528,0.0058511400038892,5.88246980306551
