Timet,Wt,M_Vt,m_ENt,m_ECt,rt,j_NAt,j_Ct,j_It,j_CAt,j_EN_Ct,j_EC_Ct,j_EN_Mmt,j_EC_Mmt,j_EN_Gt,j_EC_Gt,j_Gt,j_VMt,j_EN_Rt,j_EC_Rt,Nt,Ct,It,j_Ot,L_allomt
37,0.0533665322782439,0.00169571808086354,0.00512631096049762,0.0434842097136548,0.00110682907270567,0.000126054083400486,0.00645768869879539,0.0318865405194313,0.00173536045267995,8.26390149278361e-05,0.00145010940975253,3.44547827961329e-06,8.61369569903322e-07,7.91935366482228e-05,0.00144924804018263,0.00110682906890342,0,3.49203741500417e-05,0.000342418970955188,0.0001,0.001,9.9318517,0.00405985819175127,5.96674185348597
38,0.0534597115613474,0.00169759495093455,0.0051954804156985,0.0440295082429272,0.0011206921159836,0.000126055243529396,0.00645774813162887,0.0318784253450332,0.00173510013448642,8.36828640281366e-05,0.00146769757880758,3.44550998980348e-06,8.6137749745087e-07,8.02373540383331e-05,0.00146683620131012,0.001120692112261,0,3.54096698008197e-05,0.000346144088731872,0.0001,0.001,9.7320508,0.00405622412393726,5.97383183108127
39,0.0535529034442955,0.0016994974322122,0.00526389896407988,0.0445590969557063,0.00113423886506125,0.000126056403662253,0.0064578075646646,0.0318646192159748,0.00173465271596152,8.47143977492349e-05,0.00148476160390954,3.44554170010158e-06,8.61385425025396e-07,8.12688560491333e-05,0.00148390021848451,0.00113423886142223,0,3.58993018399271e-05,0.000349661356752085,0.0001,0.001,9.4142136,0.00405193645490022,5.98091882231132
40,0.0536461018457037,0.00170142506825088,0.00533157982286201,0.0450731426292759,0.00114747344290722,0.000126057563799059,0.00645786699790263,0.031845065264627,0.00173401616300234,8.57339017284203e-05,0.00150130798030961,3.44557341050762e-06,8.61393352626906e-07,8.22883283179127e-05,0.00150044658695698,0.00114747343935485,0,3.63893909859911e-05,0.000352973147299202,0.0001,0.001,9,0.00404698821961582,5.98800237254501
41,0.0537393004983224,0.0017033774083318,0.00539853609056457,0.0455718064103825,0.00116039978357733,0.000126058723939813,0.00645792643134287,0.0318198497719444,0.00173319308080828,8.67416575119947e-05,0.00151734297795487,3.44560512102155e-06,8.61401280255388e-07,8.32960523909731e-05,0.00151648157667461,0.00116039978011441,0,3.68800614231046e-05,0.000356081796264748,0.0001,0.001,8.5176381,0.00404139062285902,5.99508201403103
42,0.053832493186397,0.00170535400710778,0.00546478075216206,0.0460552486155783,0.00117302278998926,0.000126060000099202,0.00645799180836074,0.0317894300326829,0.00173219885944423,8.77380230980006e-05,0.00153287421033818,3.44564000271151e-06,8.61410000677878e-07,8.42923830952891e-05,0.00153201280033751,0.00117302278661768,0,3.73714718616248e-05,0.000358990013431975,0.0001,0.001,8,0.00403520190156553,6.00215728394697
43,0.0539256744050778,0.00170735442622311,0.00553032674147414,0.0465236404205485,0.00118534530589,0.000126061276263367,0.00645805718562333,0.0317548283341787,0.00173106621878958,8.87231925823967e-05,0.00154790681155785,3.44567488453204e-06,8.6141872113301e-07,8.52775176978646e-05,0.00154704539283671,0.00118534530261238,0,3.78637058185907e-05,0.000361700089944294,0.0001,0.001,7.4823619,0.0040285517910224,6.00922777440404
44,0.0540188402427257,0.00170937823077773,0.0055951868135488,0.0469771833299446,0.00119737160141004,0.000126062552432309,0.00645812256313056,0.0317180406898221,0.00172986067083975,8.96974311019867e-05,0.00156244824587502,3.4457097664831e-06,8.61427441620775e-07,8.62517213355036e-05,0.0015615868184334,0.00119737159822788,0,3.83568576257009e-05,0.000364215219933405,0.0001,0.001,7,0.00402169310824595,6.01629319918568
45,0.0541119900722138,0.00171142499172733,0.00565937358894712,0.0474161403076159,0.0012091068050245,0.000126063828606026,0.00645818794088249,0.0316822395000117,0.00172868672837083,9.06609938363376e-05,0.00157650793646981,3.44574464856472e-06,8.61436162141179e-07,8.72152491877728e-05,0.00157564650030766,0.00120910680193848,0,3.88509773235984e-05,0.000366539698105032,0.0001,0.001,6.5857864,0.00401502707059782,6.02335352156755
46,0.0542051285632378,0.00171349428733112,0.00572289951618948,0.0478408736498975,0.00122055861702671,0.000126065220800983,0.00645825926234542,0.0316516975394431,0.0017276861743204,9.16142061418162e-05,0.00159009995534883,3.44578270189352e-06,8.61445675473381e-07,8.81684234399227e-05,0.00158923850967336,0.00122055861403583,0,3.93460790859778e-05,0.000368679895381259,0.0001,0.001,6.2679492,0.00400909320435565,6.03040910602894
47,0.0542982676168224,0.00171558570754874,0.00578577686770716,0.0482518791841328,0.00123173450403892,0.000126066613001623,0.00645833058409953,0.0316310027027878,0.00172701026787993,9.25572087654564e-05,0.00160323976066239,3.44582075537769e-06,8.61455188844423e-07,8.91113880100787e-05,0.00160237830547354,0.00123173450114201,0,3.98420081660876e-05,0.000370643804083033,0.0001,0.001,6.0681483,0.0040044695098568,6.037460863579
